artist_id,artist_name,artist_tier,birth_year,country,biography
101,Artist 169,Established,1954,Italy,Biography for Artist 169.
102,Artist 165,Emerging,1992,UK,Biography for Artist 165.
103,Artist 57,Emerging,1952,Russia,Biography for Artist 57.
104,Artist 210,Established,1972,Italy,Biography for Artist 210.
105,Artist 212,Emerging,1951,Brazil,Biography for Artist 212.
106,Artist 133,Established,1997,Germany,Biography for Artist 133.
107,Artist 69,Mid-Career,1955,Canada,Biography for Artist 69.
108,Artist 32,Established,1993,China,Biography for Artist 32.
109,Artist 358,Mid-Career,1962,Japan,Biography for Artist 358.
110,Artist 332,Emerging,1984,UK,Biography for Artist 332.
111,Artist 355,Mid-Career,1992,Spain,Biography for Artist 355.
112,Artist 283,Established,1954,Australia,Biography for Artist 283.
113,Artist 371,Emerging,1982,Canada,Biography for Artist 371.
114,Artist 121,Mid-Career,1979,France,Biography for Artist 121.
115,Artist 103,Emerging,1984,USA,Biography for Artist 103.
116,Artist 153,Mid-Career,1951,Japan,Biography for Artist 153.
117,Artist 147,Mid-Career,1996,India,Biography for Artist 147.
118,Artist 52,Emerging,1971,Australia,Biography for Artist 52.
119,Artist 253,Emerging,1965,Brazil,Biography for Artist 253.
120,Artist 309,Emerging,1963,Japan,Biography for Artist 309.
121,Artist 160,Mid-Career,1954,Germany,Biography for Artist 160.
122,Artist 67,Emerging,1959,UK,Biography for Artist 67.
123,Artist 91,Mid-Career,1981,Brazil,Biography for Artist 91.
124,Artist 172,Established,1966,India,Biography for Artist 172.
125,Artist 149,Mid-Career,1952,Australia,Biography for Artist 149.
126,Artist 74,Emerging,1973,India,Biography for Artist 74.
127,Artist 50,Established,1998,France,Biography for Artist 50.
128,Artist 59,Emerging,1972,Italy,Biography for Artist 59.
129,Artist 135,Mid-Career,1975,UK,Biography for Artist 135.
130,Artist 141,Emerging,1971,Mexico,Biography for Artist 141.
131,Artist 150,Emerging,1988,Brazil,Biography for Artist 150.
132,Artist 344,Emerging,1966,France,Biography for Artist 344.
133,Artist 255,Emerging,1951,China,Biography for Artist 255.
134,Artist 273,Mid-Career,1975,Russia,Biography for Artist 273.
135,Artist 396,Mid-Career,1975,France,Biography for Artist 396.
136,Artist 66,Emerging,1998,Canada,Biography for Artist 66.
137,Artist 324,Emerging,1966,Japan,Biography for Artist 324.
138,Artist 75,Emerging,1984,India,Biography for Artist 75.
139,Artist 356,Established,1982,France,Biography for Artist 356.
140,Artist 276,Mid-Career,1951,Brazil,Biography for Artist 276.
141,Artist 99,Emerging,1972,Italy,Biography for Artist 99.
142,Artist 310,Established,1983,Spain,Biography for Artist 310.
143,Artist 227,Mid-Career,1992,Italy,Biography for Artist 227.
144,Artist 139,Emerging,1973,Brazil,Biography for Artist 139.
145,Artist 336,Emerging,1991,Brazil,Biography for Artist 336.
146,Artist 303,Emerging,1979,Italy,Biography for Artist 303.
147,Artist 15,Mid-Career,1958,UK,Biography for Artist 15.
148,Artist 338,Emerging,1996,Italy,Biography for Artist 338.
149,Artist 325,Mid-Career,1998,India,Biography for Artist 325.
150,Artist 357,Guest,1957,India,Biography for Artist 357.
151,Artist 5,Mid-Career,1984,France,Biography for Artist 5.
152,Artist 270,Guest,1961,Russia,Biography for Artist 270.
153,Artist 376,Guest,1977,Russia,Biography for Artist 376.
154,Artist 301,Established,1979,Canada,Biography for Artist 301.
155,Artist 261,Emerging,1981,India,Biography for Artist 261.
156,Artist 37,Emerging,1956,Australia,Biography for Artist 37.
157,Artist 258,Mid-Career,1998,Japan,Biography for Artist 258.
158,Artist 156,Mid-Career,1978,UK,Biography for Artist 156.
159,Artist 321,Emerging,1981,Canada,Biography for Artist 321.
160,Artist 391,Guest,1953,China,Biography for Artist 391.
161,Artist 100,Established,1989,Mexico,Biography for Artist 100.
162,Artist 208,Mid-Career,1971,USA,Biography for Artist 208.
163,Artist 70,Established,1950,Japan,Biography for Artist 70.
164,Artist 288,Emerging,1987,USA,Biography for Artist 288.
165,Artist 194,Emerging,1992,Germany,Biography for Artist 194.
166,Artist 77,Established,1953,Spain,Biography for Artist 77.
167,Artist 28,Established,1954,UK,Biography for Artist 28.
168,Artist 347,Mid-Career,1962,Italy,Biography for Artist 347.
169,Artist 318,Guest,1975,South Korea,Biography for Artist 318.
170,Artist 337,Mid-Career,1998,Brazil,Biography for Artist 337.
171,Artist 167,Mid-Career,1977,Russia,Biography for Artist 167.
172,Artist 42,Guest,1976,South Korea,Biography for Artist 42.
173,Artist 55,Established,1964,Australia,Biography for Artist 55.
174,Artist 316,Emerging,1992,Canada,Biography for Artist 316.
175,Artist 129,Mid-Career,1989,Germany,Biography for Artist 129.
176,Artist 173,Guest,1979,Canada,Biography for Artist 173.
177,Artist 294,Mid-Career,1963,Italy,Biography for Artist 294.
178,Artist 14,Emerging,1950,Japan,Biography for Artist 14.
179,Artist 350,Emerging,1995,Canada,Biography for Artist 350.
180,Artist 250,Emerging,1994,Australia,Biography for Artist 250.
181,Artist 206,Mid-Career,1978,Russia,Biography for Artist 206.
182,Artist 186,Emerging,1953,USA,Biography for Artist 186.
183,Artist 365,Guest,1965,South Korea,Biography for Artist 365.
184,Artist 17,Mid-Career,1950,Canada,Biography for Artist 17.
185,Artist 164,Emerging,1993,Germany,Biography for Artist 164.
186,Artist 98,Mid-Career,1951,France,Biography for Artist 98.
187,Artist 145,Emerging,1979,Italy,Biography for Artist 145.
188,Artist 93,Emerging,1990,Japan,Biography for Artist 93.
189,Artist 83,Emerging,1968,Australia,Biography for Artist 83.
190,Artist 151,Established,1978,Australia,Biography for Artist 151.
191,Artist 291,Established,1957,UK,Biography for Artist 291.
192,Artist 311,Emerging,1990,China,Biography for Artist 311.
193,Artist 148,Mid-Career,1959,South Korea,Biography for Artist 148.
194,Artist 158,Emerging,1953,Italy,Biography for Artist 158.
195,Artist 315,Mid-Career,1969,China,Biography for Artist 315.
196,Artist 162,Mid-Career,1976,Germany,Biography for Artist 162.
197,Artist 179,Emerging,1967,Germany,Biography for Artist 179.
198,Artist 6,Mid-Career,1983,Mexico,Biography for Artist 6.
199,Artist 80,Established,1993,Australia,Biography for Artist 80.
200,Artist 51,Mid-Career,1991,Japan,Biography for Artist 51.
201,Artist 142,Guest,1987,Russia,Biography for Artist 142.
202,Artist 79,Emerging,1964,India,Biography for Artist 79.
203,Artist 35,Emerging,1975,France,Biography for Artist 35.
204,Artist 154,Mid-Career,1962,Japan,Biography for Artist 154.
