artwork_id,title,artist_id,category_id,year_created,inventory_status,acquisition_date,retail_price
201,Artwork Title 2114,237,1,2014,Sold,2021-10-20,5964.54
202,Artwork Title 2387,430,1,2011,Sold,2022-11-05,7551.9
203,Artwork Title 2673,466,10,2009,Sold,2022-10-16,5600.01
204,Artwork Title 1294,284,4,2007,Sold,2022-01-04,4674.96
205,Artwork Title 1095,151,4,2015,Sold,2023-11-03,6254.29
206,Artwork Title 90,198,8,2018,Sold,2021-10-15,6021.86
207,Artwork Title 2689,425,1,2021,Sold,2023-04-21,6400.2
208,Artwork Title 1946,472,5,2021,Sold,2022-02-04,7478.66
209,Artwork Title 2506,268,10,2019,Sold,2021-06-09,5882.59
210,Artwork Title 1363,310,2,2017,Sold,2022-01-03,6197.26
211,Artwork Title 472,419,5,2003,Sold,2021-07-07,5048.69
212,Artwork Title 164,408,4,2016,Sold,2022-02-10,4748.65
213,Artwork Title 2187,253,4,2000,Sold,2021-07-09,9907.08
214,Artwork Title 2024,178,2,2005,Sold,2021-07-28,5683.9
215,Artwork Title 647,147,5,2010,Sold,2022-07-31,10052.03
216,Artwork Title 109,468,9,2007,Sold,2022-10-11,2128.16
217,Artwork Title 1366,184,5,2012,Sold,2021-09-21,5290.76
218,Artwork Title 2765,232,5,2000,Sold,2022-08-03,5636.17
219,Artwork Title 2143,470,3,2003,Sold,2021-09-17,5914.21
220,Artwork Title 2497,490,3,2019,Sold,2024-12-14,1156.82
221,Artwork Title 409,388,8,2001,Sold,2021-11-07,6755.71
222,Artwork Title 2450,271,7,2015,Sold,2021-02-22,4599.72
223,Artwork Title 916,479,3,2022,Sold,2022-04-27,5574.23
224,Artwork Title 2521,324,1,2003,Sold,2022-06-21,2645.94
225,Artwork Title 2568,303,5,2009,Sold,2021-06-14,4641.35
226,Artwork Title 1949,237,3,2012,Sold,2024-04-26,7193.13
227,Artwork Title 1752,441,1,2000,Sold,2021-07-22,7824.65
228,Artwork Title 1569,312,2,2007,Sold,2023-01-28,4976.65
229,Artwork Title 183,167,2,2018,Sold,2022-04-17,5256.74
230,Artwork Title 502,221,1,2009,In Stock,2019-05-10,8234.74
231,Artwork Title 1682,372,3,2018,In Stock,2025-04-07,9210.32
232,Artwork Title 2085,322,7,2016,Sold,2023-11-01,9600.17
233,Artwork Title 2296,108,4,2020,In Stock,2025-03-26,2712.63
234,Artwork Title 2080,236,3,2021,Sold,2023-05-28,5233.38
235,Artwork Title 2051,440,10,2009,Sold,2021-09-20,3126.24
236,Artwork Title 2320,203,8,2006,Sold,2022-05-03,3952.72
237,Artwork Title 2031,290,8,2009,Sold,2021-09-22,5906.34
238,Artwork Title 189,156,6,2001,Sold,2022-06-04,6635.83
239,Artwork Title 1705,359,6,2003,Sold,2022-11-09,6577.48
240,Artwork Title 2374,346,6,2007,Sold,2022-01-22,6090.0
241,Artwork Title 1715,210,3,2007,Sold,2021-08-28,5427.57
242,Artwork Title 2225,393,9,2007,Sold,2022-08-31,6239.84
243,Artwork Title 37,172,1,2003,Sold,2022-10-07,7087.53
244,Artwork Title 2486,354,9,2001,In Stock,2025-04-20,6716.47
245,Artwork Title 1361,282,7,2017,Sold,2021-11-05,6414.38
246,Artwork Title 901,417,4,2011,In Stock,2017-03-11,5036.45
247,Artwork Title 833,314,2,2019,Sold,2021-08-16,5285.9
248,Artwork Title 879,294,3,2008,Sold,2022-07-19,9047.11
249,Artwork Title 1322,218,7,2022,Sold,2024-03-09,7961.16
250,Artwork Title 2684,421,5,2007,Sold,2023-06-22,3255.25
251,Artwork Title 356,127,1,2023,Sold,2021-06-30,3922.32
252,Artwork Title 576,200,6,2007,In Stock,2023-04-28,9241.94
253,Artwork Title 702,388,1,2011,Sold,2024-05-24,10016.06
254,Artwork Title 1823,372,3,2017,Sold,2021-08-17,4991.38
255,Artwork Title 2047,118,2,2020,Sold,2021-10-20,6700.77
256,Artwork Title 1413,208,5,2002,Sold,2021-03-12,5319.18
257,Artwork Title 317,305,10,2010,Sold,2023-03-11,3396.68
258,Artwork Title 634,284,4,2001,Sold,2021-09-02,3039.32
259,Artwork Title 2364,173,9,2006,Sold,2022-05-06,5154.32
260,Artwork Title 761,331,7,2012,Sold,2025-01-10,8189.78
261,Artwork Title 491,468,5,2018,Sold,2022-09-06,9010.73
262,Artwork Title 1442,103,7,2008,Sold,2022-03-15,6863.85
263,Artwork Title 2464,288,2,2022,Sold,2023-07-30,5382.8
264,Artwork Title 302,128,2,2004,Sold,2023-03-13,1653.78
265,Artwork Title 1040,328,7,2000,Sold,2023-10-15,6457.55
266,Artwork Title 292,370,10,2018,Sold,2022-03-29,2850.35
267,Artwork Title 970,386,5,2012,Sold,2022-07-14,5871.41
268,Artwork Title 1507,400,4,2019,Sold,2022-02-01,5814.7
269,Artwork Title 655,248,6,2001,Sold,2022-08-06,5713.02
270,Artwork Title 260,456,3,2019,In Stock,2020-11-07,3029.24
271,Artwork Title 1321,136,7,2017,In Stock,2018-03-14,2678.02
272,Artwork Title 825,122,4,2022,Sold,2023-11-08,8021.17
273,Artwork Title 2204,272,6,2018,Sold,2023-07-10,7417.21
274,Artwork Title 2098,107,10,2006,In Stock,2019-02-14,9486.86
275,Artwork Title 624,163,10,2006,Sold,2022-03-20,4037.73
276,Artwork Title 305,337,7,2018,Sold,2024-08-14,5063.75
277,Artwork Title 1272,311,1,2016,Sold,2021-04-06,5560.04
278,Artwork Title 2685,217,4,2018,Sold,2022-07-27,5650.43
279,Artwork Title 2059,126,1,2019,Sold,2022-08-26,5246.12
280,Artwork Title 1951,138,5,2010,Sold,2022-02-10,1132.5
281,Artwork Title 2708,265,7,2023,Sold,2024-04-02,3399.28
282,Artwork Title 1522,166,5,2011,Sold,2021-07-11,6989.45
283,Artwork Title 2667,427,7,2011,Sold,2022-03-03,6980.34
284,Artwork Title 243,202,9,2008,Sold,2025-01-01,6977.71
285,Artwork Title 1340,199,10,2017,Sold,2022-03-31,8017.48
286,Artwork Title 1423,433,9,2018,Sold,2022-11-21,10183.72
287,Artwork Title 1335,380,7,2009,Sold,2023-06-09,8492.57
288,Artwork Title 92,189,4,2018,Sold,2023-10-13,4999.21
289,Artwork Title 1031,481,8,2014,Sold,2022-02-22,2855.72
290,Artwork Title 139,490,10,2018,Sold,2021-04-09,4602.17
291,Artwork Title 2306,476,7,2019,Sold,2024-04-06,10624.22
292,Artwork Title 315,349,9,2007,Sold,2021-08-18,5318.78
293,Artwork Title 2617,407,7,2005,Sold,2022-06-04,6508.16
294,Artwork Title 2234,371,1,2005,Sold,2023-10-05,7468.01
295,Artwork Title 2563,405,9,2001,Sold,2022-08-11,5388.92
296,Artwork Title 2153,469,7,2009,Sold,2022-11-26,7907.6
297,Artwork Title 729,123,8,2009,In Stock,2015-01-07,9512.29
298,Artwork Title 96,296,5,2017,Sold,2021-07-19,10039.22
299,Artwork Title 530,188,3,2009,Sold,2022-08-01,5927.95
300,Artwork Title 616,417,7,2001,Sold,2024-01-09,5693.71
301,Artwork Title 2767,429,1,2019,Sold,2025-07-23,8398.57
302,Artwork Title 2761,335,9,2011,Sold,2022-01-27,6921.55
303,Artwork Title 2618,247,7,2000,Sold,2022-02-21,1462.19
304,Artwork Title 666,476,5,2011,Sold,2021-04-14,6223.18
305,Artwork Title 2013,309,6,2009,Sold,2022-10-10,5313.22
306,Artwork Title 1144,186,10,2000,Sold,2023-09-11,3862.43
307,Artwork Title 1537,141,4,2002,Sold,2025-04-06,4551.84
308,Artwork Title 55,161,4,2019,Sold,2021-12-13,6213.73
309,Artwork Title 424,489,4,2022,Sold,2021-03-27,6779.14
