transaction_id,artwork_id,customer_id,gallery_id,sale_date,sale_price,payment_method
1001,1327,484,2,2025-05-31,5962.74,Cash
1002,1660,411,1,2025-03-17,1537.3,Cash
1003,1061,715,5,2022-03-02,2192.87,Cash
1004,1495,590,2,2023-07-08,892.43,Wire Transfer
1005,1331,595,5,2022-02-20,8187.76,Wire Transfer
1006,1296,751,3,2022-05-30,5741.2,Debit Card
1007,1925,692,5,2024-05-28,3509.11,Credit Card
1008,1245,515,3,2025-06-29,1700.28,Credit Card
1009,1839,762,2,2022-06-24,5098.44,Debit Card
1010,322,420,3,2023-10-21,5489.98,Debit Card
1011,667,682,2,2025-08-22,7168.51,Credit Card
1012,1439,355,2,2025-04-03,9714.4,Cash
1013,531,327,4,2024-01-29,4631.98,Credit Card
1014,1683,418,2,2025-01-31,4357.32,Cash
1015,288,521,3,2024-02-03,4014.34,Wire Transfer
1016,1597,531,4,2022-08-19,8355.78,Credit Card
1017,1324,353,4,2022-07-02,1985.01,Credit Card
1018,1072,595,2,2022-10-03,3766.22,Wire Transfer
1019,1888,621,5,2023-05-28,7387.22,Wire Transfer
1020,331,701,5,2025-09-20,649.1,Wire Transfer
1021,1886,533,4,2025-03-13,3249.12,Wire Transfer
1022,1533,458,2,2023-09-24,6593.75,Wire Transfer
1023,970,737,5,2023-12-21,2266.54,Debit Card
1024,544,569,2,2023-01-23,3375.75,Debit Card
1025,1716,321,2,2024-10-25,5117.43,Wire Transfer
1026,1638,703,4,2025-03-18,4509.22,Wire Transfer
1027,1006,353,4,2022-12-15,1507.26,Wire Transfer
1028,586,575,1,2022-03-03,9413.24,Wire Transfer
1029,1416,613,5,2024-06-29,920.78,Cash
1030,1156,581,5,2024-04-01,7622.56,Cash
1031,477,514,5,2023-08-11,1178.52,Wire Transfer
1032,1385,331,3,2024-07-29,4939.31,Wire Transfer
1033,660,637,2,2024-03-14,2166.41,Credit Card
1034,1538,483,4,2023-01-01,1840.43,Wire Transfer
1035,222,323,5,2023-08-04,1696.03,Wire Transfer
1036,453,332,1,2023-09-18,4801.47,Debit Card
1037,948,746,5,2025-07-09,5397.11,Cash
1038,1057,374,2,2025-11-03,1767.15,Wire Transfer
1039,1785,310,2,2025-07-27,9804.26,Cash
1040,675,784,4,2024-11-15,2948.78,Cash
1041,1283,756,3,2024-05-04,4858.99,Credit Card
1042,711,354,4,2024-10-03,2554.56,Cash
1043,1906,352,5,2025-10-03,5192.27,Cash
1044,1700,448,1,2022-12-31,7682.16,Wire Transfer
1045,900,460,4,2024-02-21,5450.47,Debit Card
1046,1176,670,3,2024-10-03,3213.66,Wire Transfer
1047,2007,314,4,2024-09-18,2859.77,Wire Transfer
1048,390,478,2,2023-01-04,7709.88,Debit Card
1049,1158,712,5,2024-05-06,1623.26,Debit Card
1050,887,666,5,2025-03-08,4014.68,Credit Card
1051,1158,800,5,2023-11-25,1939.09,Debit Card
1052,763,353,5,2025-03-04,2950.77,Wire Transfer
1053,2100,708,5,2023-06-10,1950.49,Debit Card
1054,1791,635,5,2025-10-02,8924.34,Debit Card
1055,1468,322,1,2024-02-19,7453.09,Debit Card
1056,1032,330,3,2024-05-20,5828.81,Cash
1057,1729,491,5,2022-02-15,2632.04,Credit Card
1058,1355,560,3,2022-09-06,5347.15,Cash
1059,1709,505,5,2024-07-13,5447.92,Cash
1060,2043,359,4,2023-09-06,6108.84,Credit Card
1061,847,771,5,2024-01-12,1070.81,Cash
1062,221,564,2,2022-04-02,9742.57,Debit Card
1063,1041,766,1,2025-05-02,4921.67,Credit Card
1064,367,312,4,2025-02-19,9302.05,Cash
1065,1498,419,4,2022-09-28,593.18,Wire Transfer
1066,588,715,2,2024-07-15,2851.8,Cash
1067,801,762,5,2025-04-09,1487.96,Wire Transfer
1068,516,590,1,2024-07-24,7811.35,Debit Card
1069,214,638,4,2023-03-30,3541.19,Wire Transfer
1070,442,548,1,2024-08-15,8484.68,Cash
1071,977,654,4,2022-11-04,8407.66,Cash
1072,1570,427,5,2023-04-10,6844.05,Cash
1073,765,375,4,2022-12-17,6824.93,Credit Card
1074,1098,661,4,2024-03-24,7151.52,Credit Card
1075,1564,504,3,2022-06-08,6900.76,Cash
1076,292,349,5,2025-09-24,4175.63,Cash
1077,1591,379,2,2023-05-02,6986.86,Debit Card
1078,1156,741,2,2022-11-16,9025.37,Credit Card
1079,1679,779,5,2023-12-26,3659.45,Credit Card
1080,1652,541,2,2023-02-09,9476.45,Credit Card
1081,709,649,5,2024-02-20,629.03,Wire Transfer
1082,976,454,2,2023-05-24,3816.28,Cash
1083,2167,574,3,2022-07-12,1754.93,Debit Card
1084,235,396,2,2023-01-24,1702.89,Debit Card
1085,406,514,4,2023-10-03,8246.58,Cash
1086,1305,594,5,2022-02-14,9224.5,Cash
1087,2156,509,1,2025-01-30,7888.7,Debit Card
1088,1786,643,1,2024-06-26,9777.85,Wire Transfer
